,Name_number,phylomatic.input,phylomatic.all.lower,Name_submitted,Overall_score,Name_matched,Name_matched_rank,Name_score,Name_matched_author,Name_matched_url,Author_matched,Author_score,Family_matched,Family_score,Name_matched_accepted_family,Genus_matched,Genus_score,Specific_epithet_matched,Specific_epithet_score,Infraspecific_rank,Infraspecific_epithet_matched,Infraspecific_epithet_score,Infraspecific_rank_2,Infraspecific_epithet_2_matched,Infraspecific_epithet_2_score,Annotations,Unmatched_terms,Taxonomic_status,Accepted_name,Accepted_name_author,Accepted_name_rank,Accepted_name_url,Accepted_name_species,Accepted_name_family,Selected,Source,Warnings,Accepted_name_lsid
153,153,platanaceae/platanus/Platanus_wrightii,platanaceae/platanus/platanus_wrightii,Platanus wrightii,1,Platanus wrightii,species,1,S. Watson,http://www.tropicos.org/Name/25300005;http://plants.usda.gov/java/profile?symbol=PLWR2,,NA,NA,NA,Platanaceae,Platanus,1,wrightii,1,,,NA,NA,NA,NA,NA,,Accepted,Platanus wrightii,S. Watson,species,http://www.tropicos.org/Name/25300005;http://plants.usda.gov/java/profile?symbol=PLWR2,Platanus wrightii,Platanaceae,TRUE,tropicos;usda, ,
154,154,platanaceae/platanus/Platanus_acerifolia,platanaceae/platanus/platanus_acerifolia,Platanus x acerifolia,0.9,Platanus acerifolia,species,1,(Aiton) Willd.,http://www.tropicos.org/Name/25300017,,NA,NA,NA,Platanaceae,Platanus,1,acerifolia,1,,,NA,NA,NA,NA,NA,x,Accepted,Platanus acerifolia,(Aiton) Willd.,species,http://www.tropicos.org/Name/25300017,Platanus acerifolia,Platanaceae,TRUE,tropicos, ,
155,155,polygonaceae/polygonum/Polygonum_cuspidatum,polygonaceae/polygonum/polygonum_cuspidatum,Polygonum cuspidatum,1,Polygonum cuspidatum,species,1,Siebold & Zucc.,http://www.tropicos.org/Name/26000850,,NA,NA,NA,Polygonaceae,Polygonum,1,cuspidatum,1,,,NA,NA,NA,NA,NA,,No opinion,Polygonum cuspidatum,Siebold & Zucc.,,,,,TRUE,tropicos, [Ambiguous match] ,
156,156,rhamnaceae/pomaderris/Pomaderris_aspera,rhamnaceae/pomaderris/pomaderris_aspera,Pomaderris aspera,1,Pomaderris aspera,species,1,Sieber ex DC.,http://www.tropicos.org/Name/27500942,,NA,NA,NA,Rhamnaceae,Pomaderris,1,aspera,1,,,NA,NA,NA,NA,NA,,No opinion,Pomaderris aspera,Sieber ex DC.,,,,,TRUE,tropicos, ,
157,157,salicaceae/populus/Populus_alba,salicaceae/populus/populus_alba,Populus alba,1,Populus alba,species,1,L.,http://www.tropicos.org/Name/28300002;http://plants.usda.gov/java/profile?symbol=POAL7,,NA,NA,NA,Salicaceae,Populus,1,alba,1,,,NA,NA,NA,NA,NA,,Accepted,Populus alba,L.,species,http://www.tropicos.org/Name/28300002;http://plants.usda.gov/java/profile?symbol=POAL7,Populus alba,Salicaceae,TRUE,tropicos;usda, ,
158,158,salicaceae/populus/Populus_angustifolia,salicaceae/populus/populus_angustifolia,Populus angustifolia,1,Populus angustifolia,species,1,E. James,http://www.tropicos.org/Name/28300116,,NA,NA,NA,Salicaceae,Populus,1,angustifolia,1,,,NA,NA,NA,NA,NA,,Accepted,Populus angustifolia,E. James,species,http://www.tropicos.org/Name/28300116,Populus angustifolia,Salicaceae,TRUE,tropicos, ,
159,159,salicaceae/populus/Populus_balsamifera,salicaceae/populus/populus_balsamifera,Populus balsamifera ssp. Balsamifera,0.9,Populus balsamifera,species,1,L.,http://www.tropicos.org/Name/28300003;http://plants.usda.gov/java/profile?symbol=POBA2,,NA,NA,NA,Salicaceae,Populus,1,balsamifera,1,,,NA,NA,NA,NA,NA,ssp. Balsamifera,Accepted,Populus balsamifera,L.,species,http://www.tropicos.org/Name/28300003;http://plants.usda.gov/java/profile?symbol=POBA2,Populus balsamifera,Salicaceae,TRUE,tropicos;usda, ,
160,160,salicaceae/populus/Populus_balsamifera ssp. trichocarpa,salicaceae/populus/populus_balsamifera ssp. trichocarpa,Populus balsamifera ssp. trichocarpa,1,Populus balsamifera ssp. trichocarpa,subspecies,1,(Torr. & A. Gray ex Hook.) Brayshaw,http://plants.usda.gov/java/profile?symbol=POBAT,,NA,NA,NA,Salicaceae,Populus,1,balsamifera,1,subsp.,trichocarpa,1,NA,NA,NA,NA,,Accepted,Populus balsamifera ssp. trichocarpa,(Torr. & A. Gray ex Hook.) Brayshaw,subspecies,http://plants.usda.gov/java/profile?symbol=POBAT,Populus balsamifera,Salicaceae,TRUE,usda, ,
161,161,salicaceae/populus/Populus_deltoides,salicaceae/populus/populus_deltoides,Populus deltoides,1,Populus deltoides,species,1,W. Bartram ex Marshall,http://www.tropicos.org/Name/28300004,,NA,NA,NA,Salicaceae,Populus,1,deltoides,1,,,NA,NA,NA,NA,NA,,Accepted,Populus deltoides,W. Bartram ex Marshall,species,http://www.tropicos.org/Name/28300004,Populus deltoides,Salicaceae,TRUE,tropicos, ,
162,162,salicaceae/populus/Populus_fremontii,salicaceae/populus/populus_fremontii,Populus fremontii,1,Populus fremontii,species,1,S. Watson,http://www.tropicos.org/Name/28300123;http://plants.usda.gov/java/profile?symbol=POFR2,,NA,NA,NA,Salicaceae,Populus,1,fremontii,1,,,NA,NA,NA,NA,NA,,Accepted,Populus fremontii,S. Watson,species,http://www.tropicos.org/Name/28300123;http://plants.usda.gov/java/profile?symbol=POFR2,Populus fremontii,Salicaceae,TRUE,tropicos;usda, ,
163,163,salicaceae/populus/Populus_grandidentata,salicaceae/populus/populus_grandidentata,Populus grandidentata,1,Populus grandidentata,species,1,Michx.,http://www.tropicos.org/Name/28300125;http://plants.usda.gov/java/profile?symbol=POGR4,,NA,NA,NA,Salicaceae,Populus,1,grandidentata,1,,,NA,NA,NA,NA,NA,,Accepted,Populus grandidentata,Michx.,species,http://www.tropicos.org/Name/28300125;http://plants.usda.gov/java/profile?symbol=POGR4,Populus grandidentata,Salicaceae,TRUE,tropicos;usda, ,
164,164,salicaceae/populus/Populus_nigra,salicaceae/populus/populus_nigra,Populus nigra,1,Populus nigra,species,1,L.,http://www.tropicos.org/Name/28300007;http://plants.usda.gov/java/profile?symbol=PONI,,NA,NA,NA,Salicaceae,Populus,1,nigra,1,,,NA,NA,NA,NA,NA,,Accepted,Populus nigra,L.,species,http://www.tropicos.org/Name/28300007;http://plants.usda.gov/java/profile?symbol=PONI,Populus nigra,Salicaceae,TRUE,tropicos;usda, ,
165,165,salicaceae/populus/Populus_,salicaceae/populus/populus_,Populus sp.,0.9,Populus,genus,1,L.,http://www.tropicos.org/Name/40014915,,NA,NA,NA,Salicaceae,Populus,1,,NA,,,NA,NA,NA,NA,NA,sp.,Accepted,Populus ,L.,genus,http://www.tropicos.org/Name/40014915,,Salicaceae,TRUE,tropicos, ,
166,166,salicaceae/populus/Populus_tremula,salicaceae/populus/populus_tremula,Populus tremula,1,Populus tremula,species,1,L.,http://www.tropicos.org/Name/28300009;http://plants.usda.gov/java/profile?symbol=POTR10,,NA,NA,NA,Salicaceae,Populus,1,tremula,1,,,NA,NA,NA,NA,NA,,Accepted,Populus tremula,L.,species,http://www.tropicos.org/Name/28300009;http://plants.usda.gov/java/profile?symbol=POTR10,Populus tremula,Salicaceae,TRUE,tropicos;usda, ,
167,167,salicaceae/populus/Populus_tremuloides,salicaceae/populus/populus_tremuloides,Populus tremuloides,1,Populus tremuloides,species,1,Michx.,http://www.tropicos.org/Name/28300255;http://plants.usda.gov/java/profile?symbol=POTR5,,NA,NA,NA,Salicaceae,Populus,1,tremuloides,1,,,NA,NA,NA,NA,NA,,Accepted,Populus tremuloides,Michx.,species,http://www.tropicos.org/Name/28300255;http://plants.usda.gov/java/profile?symbol=POTR5,Populus tremuloides,Salicaceae,TRUE,tropicos;usda, ,
168,168,salicaceae/populus/Populus_x canadensis,salicaceae/populus/populus_x canadensis,Populus x canadensis,1,Populus x canadensis,nothospecies,1,Moench,http://www.tropicos.org/Name/28300538,,NA,NA,NA,Salicaceae,Populus,1,canadensis,1,,,NA,NA,NA,NA,NA,,Accepted,Populus x canadensis,Moench,nothospecies,http://www.tropicos.org/Name/28300538,Populus x canadensis,Salicaceae,TRUE,tropicos, ,
169,169,salicaceae/populus/Populus_acuminata,salicaceae/populus/populus_acuminata,Populus x hinckleyana,0.9,Populus hinckleyana,species,1,Correll,http://www.tropicos.org/Name/28300128,,NA,NA,NA,Salicaceae,Populus,1,hinckleyana,1,,,NA,NA,NA,NA,NA,x,Synonym,Populus acuminata,Rydb.,species,http://www.tropicos.org/Name/28300115,Populus acuminata,Salicaceae,TRUE,tropicos, ,
170,170,potamogetonaceae/potamogeton/Potamogeton_coloratus,potamogetonaceae/potamogeton/potamogeton_coloratus,Potamogeton coloratus,1,Potamogeton coloratus,species,1,Hornem.,http://www.tropicos.org/Name/26300364,,NA,NA,NA,Potamogetonaceae,Potamogeton,1,coloratus,1,,,NA,NA,NA,NA,NA,,No opinion,Potamogeton coloratus,Hornem.,,,,,TRUE,tropicos, ,
